0.04 MB  7743dd93d000-7743dd947000 r--p 0002c000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.04 MB  7743dd480000-7743dd489000 r--p 0001e000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7743d03f5000-7743d03fe000 r--p 001d6000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.03 MB  7743dd7f7000-7743dd7ff000 r--p 00000000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.03 MB  7743dd48c000-7743dd494000 r-xp 00001000 103:02 27012321 /usr/lib/x86_64-linux-gnu/libbrotlidec.so.1.1.0
0.03 MB  7743dd1f3000-7743dd1fc000 r-xp 00002000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.03 MB  7743dca73000-7743dca7b000 rw-s 00000000 00:01 55370 /memfd:state table (deleted)
0.03 MB  7743db9f5000-7743db9fd000 r--p 00023000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.03 MB  7743db94b000-7743db953000 r--p 00000000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.03 MB  7743ce142000-7743ce14a000 rw-p 00b42000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.03 MB  7743dd8fb000-7743dd902000 r--s 00000000 103:02 27029196 /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
0.03 MB  7743dd7ef000-7743dd7f6000 r--p 000c4000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.03 MB  7743dd17a000-7743dd181000 r-xp 00002000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.03 MB  7743dcbd1000-7743dcbd8000 r-xp 00002000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.03 MB  7743dcab0000-7743dcab7000 r--p 00000000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.03 MB  7743dca8c000-7743dca93000 r-xp 00002000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.02 MB  7743dd85f000-7743dd865000 r--p 00000000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.02 MB  7743dd4c3000-7743dd4c9000 r--p 00014000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.02 MB  7743dcbc5000-7743dcbcb000 r-xp 00002000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.02 MB  7743dca9b000-7743dcaa1000 r-xp 00005000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7743dca80000-7743dca86000 r-xp 00003000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.02 MB  7743dd6f3000-7743dd6f8000 r--p 00000000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.02 MB  7743dd406000-7743dd413000 rw-p 00000000 00:00 0
0.02 MB  7743dcb9a000-7743dcb9f000 r--p 00000000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7743dcab7000-7743dcabc000 r-xp 00007000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.02 MB  7743dca96000-7743dca9b000 r--p 00000000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7743cc561000-7743cc58d000 rw-p 00000000 00:00 0
0.02 MB  7743cc55c000-7743cc561000 rw-p 00b5b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.02 MB  7743dd8e0000-7743dd8e4000 r--p 00000000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.02 MB  7743dd604000-7743dd608000 rw-p 00139000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.02 MB  7743dd41b000-7743dd41f000 r--p 00000000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.02 MB  7743dd417000-7743dd41b000 rw-p 00000000 00:00 0
0.02 MB  7743dd400000-7743dd404000 r--p 001ff000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.02 MB  7743dcbe1000-7743dcbe5000 rw-s 00000000 00:01 55370 /memfd:state table (deleted)
0.02 MB  7743dcbab000-7743dcbaf000 r--p 00011000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7743dcae0000-7743dcae4000 r--p 00000000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.02 MB  7743db9d2000-7743db9d6000 r--p 00000000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.02 MB  7743db9cc000-7743db9d0000 r--p 00028000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7743db9a4000-7743db9a8000 r--p 00000000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7743db946000-7743db94a000 r--p 0002e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.02 MB  7743db8dd000-7743db8e1000 r--p 00012000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.02 MB  7743db42f000-7743db433000 rw-p 0142e000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.02 MB  7743cb200000-7743cba00000 rw-p 00000000 00:00 0
0.02 MB  5ebd7a31e000-5ebd7a322000 r--p 00000000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.01 MB  7743dd8f5000-7743dd8f8000 r-xp 00001000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.01 MB  7743dd8ef000-7743dd8f2000 r--p 0000f000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.01 MB  7743dd185000-7743dd188000 r--p 00000000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7743dcbbd000-7743dcbc0000 r-xp 00002000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  7743dcacd000-7743dcad0000 r-xp 00003000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7743dcaca000-7743dcacd000 r--p 00000000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7743dcac4000-7743dcac7000 r-xp 00003000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7743dcac1000-7743dcac4000 r--p 00000000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7743dcabc000-7743dcabf000 r--p 0000c000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.01 MB  7743dca7d000-7743dca80000 r--p 00000000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.01 MB  7743dca6a000-7743dca6d000 rw-p 01069000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.01 MB  7743db985000-7743db988000 r--p 00000000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.01 MB  7743db8e5000-7743db8e8000 r--p 00000000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.01 MB  7743db8cb000-7743db8ce000 r--p 00000000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.01 MB  7743db87a000-7743db87e000 rw-p 00000000 00:00 0
0.01 MB  7743db877000-7743db87a000 rw-p 00276000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.01 MB  7743db5fc000-7743db5ff000 rw-p 00173000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.01 MB  7743db433000-7743db439000 rw-p 00000000 00:00 0
0.01 MB  7743d9ffd000-7743da000000 rw-p 001f6000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.01 MB  7743cd531000-7743cd534000 rw-p 00f30000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.01 MB  7743c91fe000-7743c99fe000 rw-p 00000000 00:00 0
0.01 MB  7743dd949000-7743dd94b000 rw-p 00038000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7743dd947000-7743dd949000 r--p 00036000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7743dd90f000-7743dd911000 r-xp 00000000 00:00 0 [vdso]
0.01 MB  7743dd907000-7743dd909000 rw-p 00000000 00:00 0
0.01 MB  7743dd83a000-7743dd83c000 r--p 00042000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.01 MB  7743dd6f1000-7743dd6f3000 rw-p 00000000 00:00 0
0.01 MB  7743dd4af000-7743dd4b1000 r--p 00000000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.01 MB  7743dd49b000-7743dd49d000 r--p 00000000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.01 MB  7743dd499000-7743dd49b000 rw-p 00000000 00:00 0
0.01 MB  7743dd43a000-7743dd43c000 r-xp 00001000 103:02 27012176 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
0.01 MB  7743dd433000-7743dd435000 r-xp 00002000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7743dd431000-7743dd433000 r--p 00000000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7743dd404000-7743dd406000 rw-p 00203000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.01 MB  7743dd1f1000-7743dd1f3000 r--p 00000000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.01 MB  7743dd194000-7743dd196000 r--p 0000f000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7743dd181000-7743dd183000 r--p 00009000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7743dd178000-7743dd17a000 r--p 00000000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7743dcbcf000-7743dcbd1000 r--p 00000000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.01 MB  7743dcbcb000-7743dcbcd000 r--p 00008000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7743dcbc3000-7743dcbc5000 r--p 00000000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7743dcbbb000-7743dcbbd000 r--p 00000000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  7743dcadb000-7743dcadd000 r-xp 00002000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  7743dcad9000-7743dcadb000 r--p 00000000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
