0.06 MB  727ceaea1000-727ceaeb7000 r-xp 00003000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.06 MB  727ce99ce000-727ce99ed000 r-xp 00008000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.06 MB  727ce99a0000-727ce99b3000 r-xp 0000e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.06 MB  727ce9963000-727ce9985000 r-xp 00003000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.06 MB  727cde64d000-727cde7b3000 r-xp 0002f000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.06 MB  727cde468000-727cde56d000 r-xp 00068000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.06 MB  727cebc54000-727cebc7a000 r--p 0009e000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.06 MB  727ceae7a000-727ceae89000 r-xp 00003000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.06 MB  727ce9be5000-727ce9c6c000 r--p 001e5000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.05 MB  727ceba65000-727ceba73000 r-xp 00002000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.05 MB  727ce9992000-727ce99a0000 r--p 00000000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.05 MB  727cebbb6000-727cebbc3000 r--p 00000000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.05 MB  727ceb5a6000-727ceb5b2000 r-xp 00005000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.05 MB  727ceaff1000-727ceaffe000 r--p 000ab000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.05 MB  727ce806a000-727ce8082000 rw-p 00e6a000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.05 MB  727ce709e000-727ce70e6000 rw-p 0889d000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
0.04 MB  727cebd6f000-727cebd7a000 r-xp 00004000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.04 MB  727ceba2a000-727ceba35000 r--p 00000000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  727ceb68e000-727ceb69a000 r-xp 00004000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.04 MB  727ceb5ed000-727ceb5f9000 r-xp 00003000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.04 MB  727ce9c6c000-727ce9c77000 r--p 0026b000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.04 MB  727cebdc8000-727cebdd2000 r--p 0002c000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.04 MB  727ceba48000-727ceba51000 r--p 0001e000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  727cde7f5000-727cde7fe000 r--p 001d6000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.03 MB  727cebc82000-727cebc8a000 r--p 00000000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.03 MB  727ceba54000-727ceba5c000 r-xp 00001000 103:02 27012321 /usr/lib/x86_64-linux-gnu/libbrotlidec.so.1.1.0
0.03 MB  727ceb67d000-727ceb686000 r-xp 00002000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.03 MB  727ceaf1a000-727ceaf22000 r--p 00023000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.03 MB  727ce9c7e000-727ce9c86000 rw-s 00000000 00:01 42939 /memfd:state table (deleted)
0.03 MB  727ce99c6000-727ce99ce000 r--p 00000000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.03 MB  727cdc542000-727cdc54a000 rw-p 00b42000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.03 MB  727cebd86000-727cebd8d000 r--s 00000000 103:02 27029196 /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
0.03 MB  727cebc7a000-727cebc81000 r--p 000c4000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.03 MB  727ceb5df000-727ceb5e6000 r-xp 00002000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.03 MB  727ceb5d3000-727ceb5da000 r-xp 00002000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.03 MB  727ceaf35000-727ceaf3c000 r--p 00000000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.03 MB  727ceaebf000-727ceaec6000 r-xp 00002000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.02 MB  727cebcea000-727cebcf0000 r--p 00000000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.02 MB  727ceba8b000-727ceba91000 r--p 00014000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.02 MB  727ceb5c7000-727ceb5cd000 r-xp 00002000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.02 MB  727ceaf2a000-727ceaf30000 r-xp 00005000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  727ceae94000-727ceae9a000 r-xp 00003000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.02 MB  727cebb7e000-727cebb83000 r--p 00000000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.02 MB  727ceba06000-727ceba13000 rw-p 00000000 00:00 0
0.02 MB  727ceb5a1000-727ceb5a6000 r--p 00000000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  727ceaf3c000-727ceaf41000 r-xp 00007000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.02 MB  727ceaf25000-727ceaf2a000 r--p 00000000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  727cda961000-727cda98d000 rw-p 00000000 00:00 0
0.02 MB  727cda95c000-727cda961000 rw-p 00b5b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.02 MB  727cebd6b000-727cebd6f000 r--p 00000000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.02 MB  727ceba18000-727ceba1c000 rw-p 00000000 00:00 0
0.02 MB  727ceba00000-727ceba04000 r--p 001ff000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.02 MB  727ceb7fc000-727ceb800000 rw-p 00139000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.02 MB  727ceb68a000-727ceb68e000 r--p 00000000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.02 MB  727ceb602000-727ceb606000 rw-s 00000000 00:01 42939 /memfd:state table (deleted)
0.02 MB  727ceb5b2000-727ceb5b6000 r--p 00011000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  727ceaf46000-727ceaf4a000 r--p 00000000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.02 MB  727ceaef7000-727ceaefb000 r--p 00000000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.02 MB  727ceaef1000-727ceaef5000 r--p 00028000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  727ceaec9000-727ceaecd000 r--p 00000000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  727ceae89000-727ceae8d000 r--p 00012000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.02 MB  727ce99c1000-727ce99c5000 r--p 0002e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.02 MB  727ce982f000-727ce9833000 rw-p 0142e000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.02 MB  727cd9600000-727cd9e00000 rw-p 00000000 00:00 0
0.02 MB  57a28bc49000-57a28bc4d000 r--p 00000000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.01 MB  727cebd80000-727cebd83000 r-xp 00001000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.01 MB  727cebd7a000-727cebd7d000 r--p 0000f000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.01 MB  727ceb5ea000-727ceb5ed000 r--p 00000000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  727ceb5bf000-727ceb5c2000 r-xp 00002000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  727ceb58e000-727ceb591000 r-xp 00003000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  727ceb58b000-727ceb58e000 r--p 00000000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  727ceb585000-727ceb588000 r-xp 00003000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  727ceb582000-727ceb585000 r--p 00000000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  727ceaf41000-727ceaf44000 r--p 0000c000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.01 MB  727ceae9e000-727ceaea1000 r--p 00000000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.01 MB  727ceae91000-727ceae94000 r--p 00000000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
