0.01 MB  7bc525cf3000-7bc525cf5000 r-xp 00002000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  7bc525cf1000-7bc525cf3000 r--p 00000000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  7bc525ce8000-7bc525cea000 r--p 00006000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7bc525cbb000-7bc525cbd000 r--p 0000d000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.01 MB  7bc525cab000-7bc525cad000 r--p 0002b000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.01 MB  7bc525c74000-7bc525c76000 r--p 00000000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.01 MB  7bc525c6d000-7bc525c70000 rw-p 00000000 00:00 0
0.01 MB  7bc524b9f000-7bc524ba1000 r--p 00033000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.01 MB  7bc51734a000-7bc517351000 rw-p 00000000 00:00 0
0.01 MB  7bc516734000-7bc516737000 rw-p 00000000 00:00 0
0.01 MB  7bc510000000-7bc510021000 rw-p 00000000 00:00 0
0.01 MB  7bc50ea00000-7bc50f200000 rw-p 00000000 00:00 0
0.01 MB  7bc50d9fe000-7bc50e1fe000 rw-p 00000000 00:00 0
0.00 MB  7bc526b27000-7bc526b28000 r--p 00000000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.00 MB  7bc526b1c000-7bc526b1d000 rw-p 00003000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7bc526b1b000-7bc526b1c000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7bc526b1a000-7bc526b1b000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7bc526b19000-7bc526b1a000 r-xp 00001000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7bc526b18000-7bc526b19000 r--p 00000000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7bc526b10000-7bc526b11000 rw-p 00005000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7bc526b0f000-7bc526b10000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7bc526b0e000-7bc526b0f000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7bc526b0a000-7bc526b0b000 r--p 00000000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7bc526b09000-7bc526b0a000 rw-p 00012000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7bc526b08000-7bc526b09000 r--p 00011000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7bc526af5000-7bc526af6000 rw-s 00000000 00:01 45299 /memfd:state table (deleted)
0.00 MB  7bc526af4000-7bc526af5000 rw-s 00000000 00:01 45300 /memfd:state table (deleted)
