0.05 MB  7f9201144000-7f9201151000 r--p 00000000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.05 MB  7f92005b7000-7f92005c3000 r-xp 00005000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.05 MB  7f92005a3000-7f92005b0000 r--p 000ab000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.05 MB  7f91fd66a000-7f91fd682000 rw-p 00e6a000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.05 MB  7f91fc69e000-7f91fc6e6000 rw-p 0889d000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
0.04 MB  7f92012fd000-7f9201308000 r-xp 00004000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.04 MB  7f9200c5c000-7f9200c67000 r--p 00000000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7f9200c1f000-7f9200c2b000 r-xp 00004000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.04 MB  7f9200b7e000-7f9200b8a000 r-xp 00003000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.04 MB  7f91ff26c000-7f91ff277000 r--p 0026b000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.04 MB  7f9201356000-7f9201360000 r--p 0002c000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.04 MB  7f9200c7a000-7f9200c83000 r--p 0001e000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.04 MB  7f91f3df5000-7f91f3dfe000 r--p 001d6000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.03 MB  7f9201210000-7f9201218000 r--p 00000000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.03 MB  7f9200c86000-7f9200c8e000 r-xp 00001000 103:02 27012321 /usr/lib/x86_64-linux-gnu/libbrotlidec.so.1.1.0
0.03 MB  7f9200c0e000-7f9200c17000 r-xp 00002000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.03 MB  7f92004a3000-7f92004ab000 r--p 00023000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.03 MB  7f91ff36c000-7f91ff374000 r--p 00000000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.03 MB  7f91ff2ac000-7f91ff2b4000 rw-s 00000000 00:01 51393 /memfd:state table (deleted)
0.03 MB  7f91f1b42000-7f91f1b4a000 rw-p 00b42000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.03 MB  7f9201314000-7f920131b000 r--s 00000000 103:02 27029196 /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
0.03 MB  7f9201208000-7f920120f000 r--p 000c4000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.03 MB  7f92005f5000-7f92005fc000 r-xp 00002000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.03 MB  7f92005e9000-7f92005f0000 r-xp 00002000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
